"","AppID","name","MetaScore","free","dlc","isDlc","developer","publisher","Mac","Windows","Linux","single","multi","mmo","coop","crossP","achieve","leadB","cloud","trade","workS","antiCheat","release_date","RPG","Strategy","Action","Adventure","Simulation","Indie","Casual","FreetoPlay","MassivelyMultiplayer","Racing","Sports","EarlyAccess"
"1",10,"Counter-Strike",88,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2000-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"568",20,"Team Fortress Classic",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,1999-04-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"1135",30,"Day of Defeat",79,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2003-05-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"1702",40,"Deathmatch Classic",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2001-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"2269",50,"Half-Life: Opposing Force",NA,0,0,0,"Gearbox Software","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,1999-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"2836",60,"Ricochet",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2000-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"3403",70,"Half-Life",96,0,1,0,"Valve","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,1998-11-08,"False","False","True","False","False","False","False","False","False","False","False","False"
"3970",80,"Counter-Strike: Condition Zero",65,0,0,0,"Valve","Valve",1,1,1,1,1,0,0,0,0,0,0,0,0,1,2004-03-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"4537",130,"Half-Life: Blue Shift",71,0,0,0,"Gearbox Software","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2001-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"5104",280,"Half-Life: Source",NA,0,0,0,"Valve","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2004-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"5671",320,"Half-Life 2: Deathmatch",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2004-11-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"6238",340,"Half-Life 2: Lost Coast",NA,0,0,0,"Valve","Valve",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2005-10-27,"False","False","True","False","False","False","False","False","False","False","False","False"
"6805",360,"Half-Life Deathmatch: Source",NA,0,0,0,"Valve","Valve",1,1,1,0,1,0,0,0,0,0,0,0,0,1,2006-05-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"7372",380,"Half-Life 2: Episode One",87,0,1,0,"Valve","Valve",1,1,1,1,0,0,0,0,1,0,1,0,0,0,2006-06-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"7939",420,"Half-Life 2: Episode Two",90,0,1,0,"Valve","Valve",1,1,1,1,0,0,0,0,1,0,1,0,0,0,2007-10-10,"False","False","True","False","False","False","False","False","False","False","False","False"
"8506",570,"Dota 2",90,1,3,0,"Valve","Valve",1,1,1,0,1,0,1,0,0,0,0,1,1,1,2013-07-09,"False","True","True","False","False","False","False","True","False","False","False","False"
"9073",630,"Alien Swarm",77,1,0,0,"Valve","Valve",0,1,0,1,1,0,1,0,1,0,1,0,0,0,2010-07-19,"False","False","True","False","False","False","False","False","False","False","False","False"
"9640",1200,"Red Orchestra: Ostfront 41-45",81,0,0,0,"Tripwire Interactive","Tripwire Interactive",1,1,1,0,1,0,0,0,1,0,0,0,0,1,2006-03-14,"False","False","True","False","False","False","False","False","False","False","False","False"
"10207",1230,"Mare Nostrum",NA,1,0,0,"Sandstorm Productions","Tripwire Interactive",1,1,1,0,1,0,0,0,1,0,0,0,0,0,2008-10-17,"False","False","True","False","False","False","False","False","False","False","False","False"
"10774",1250,"Killing Floor",72,0,21,0,"Tripwire Interactive","Tripwire Interactive",1,1,1,1,1,0,1,1,1,0,0,1,1,1,2009-05-14,"False","False","True","False","False","False","False","False","False","False","False","False"
"11341",1280,"Darkest Hour: Europe '44-'45",NA,1,0,0,"Darklight Games","Darklight Games",1,1,1,0,1,0,0,0,0,0,0,0,0,0,2009-06-09,"False","False","True","False","False","False","False","False","False","False","False","False"
"11908",1300,"SiN Episodes: Emergence",75,0,0,0,"Ritual Entertainment","Ritual Entertainment",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-05-10,"False","False","True","False","False","False","False","False","False","False","False","False"
"12475",1500,"Darwinia",84,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2005-07-14,"False","True","False","False","False","True","False","False","False","False","False","False"
"13041",1510,"Uplink",75,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,0,0,0,0,0,0,0,0,0,0,2006-08-23,"False","True","False","False","False","True","False","False","False","False","False","False"
"13608",1520,"DEFCON",84,0,0,0,"Introversion Software","Introversion Software",1,1,1,1,1,0,0,0,0,0,0,0,0,0,2006-09-29,"False","True","False","False","False","True","False","False","False","False","False","False"
"14175",1530,"Multiwinia",76,0,0,0,"Introversion Software","Introversion Software",1,1,0,1,1,0,0,0,1,0,0,0,0,0,2008-09-19,"False","False","False","False","False","True","False","False","False","False","False","False"
"14742",1600,"Dangerous Waters",82,0,0,0,"Sonalysts","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-02-07,"False","True","False","False","False","False","False","False","False","False","False","False"
"15308",1610,"Space Empires IV Deluxe",79,0,0,0,"Malfador Machinations","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-02-07,"False","True","False","False","False","False","False","False","False","False","False","False"
"15875",1620,"Jagged Alliance 2 Gold",NA,0,0,0,"Strategy First","Strategy First",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"16441",1630,"Disciples II: Rise of the Elves ",80,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"17008",1640,"Disciples II: Gallean's Return",84,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2006-07-06,"False","True","False","False","False","False","False","False","False","False","False","False"
"17575",1670,"Iron Warriors: T - 72 Tank Command ",56,0,0,0,"Strategy First","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-07-26,"False","True","False","False","False","False","False","False","False","False","False","False"
"18142",1690,"Space Empires V",68,0,0,0,"Malfador Machinations","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-10-16,"False","True","False","False","False","False","False","False","False","False","False","False"
"18709",1700,"Arx Fatalis",77,0,0,0,"Arkane Studios","Arkane Studios",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2002-11-12,"True","False","False","False","False","False","False","False","False","False","False","False"
"19276",1840,"Source Filmmaker",NA,0,0,0,"Valve","Valve",0,1,0,0,0,0,0,0,0,0,0,0,1,0,2012-07-10,"False","False","False","False","False","False","False","False","False","False","False","False"
"19843",1900,"Earth 2160",73,0,0,0,"Reality Pump Studios","Topware Interactive,ACE",1,1,1,1,1,0,0,0,0,0,0,1,0,0,2006-04-01,"False","True","False","False","False","False","False","False","False","False","False","False"
"20410",1930,"Two Worlds Epic Edition",65,0,1,0,"Reality Pump Studios","Topware Interactive",0,1,0,1,1,0,0,0,0,0,0,1,0,0,2009-04-30,"True","False","False","False","False","False","False","False","False","False","False","False"
"20977",2100,"Dark Messiah of Might & Magic",72,0,0,0,"Arkane Studios","Ubisoft",0,1,0,1,1,0,0,0,0,0,0,0,0,1,2006-10-25,"True","False","True","False","False","False","False","False","False","False","False","False"
"21545",2200,"Quake III Arena",NA,0,0,0,"id Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1999-12-05,"False","False","True","False","False","False","False","False","False","False","False","False"
"22111",2210,"Quake IV",81,0,0,0,"RavenSoft / id Software","Bethesda Softworks",0,1,0,1,1,0,0,0,0,0,1,0,0,0,2005-10-18,"False","False","True","False","False","False","False","False","False","False","False","False"
"22678",2270,"Wolfenstein 3D",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1994-08-03,"False","False","True","False","False","False","False","False","False","False","False","False"
"23245",2280,"Ultimate Doom",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1995-04-30,"False","False","True","False","False","False","False","False","False","False","False","False"
"23812",2290,"Final DOOM",NA,0,0,0,"id Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1996-06-17,"False","False","True","False","False","False","False","False","False","False","False","False"
"24378",2300,"DOOM II",83,0,0,0,"id Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1994-05-05,"False","False","True","False","False","False","False","False","False","False","False","False"
"24945",2310,"QUAKE",94,0,0,0,"id Software","id Software",0,1,0,1,1,0,1,0,0,0,1,0,0,0,2007-05-31,"False","False","True","False","False","False","False","False","False","False","False","False"
"25512",2320,"QUAKE II",NA,0,0,0,"id Software","id Software",0,1,0,1,1,0,1,0,0,0,1,0,0,0,1997-11-11,"False","False","True","False","False","False","False","False","False","False","False","False"
"26079",2330,"QUAKE II Mission Pack: The Reckoning",NA,0,0,0,"Xatrix Entertainment","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1998-05-31,"False","False","True","False","False","False","False","False","False","False","False","False"
"26646",2340,"QUAKE II Mission Pack: Ground Zero",NA,0,0,0,"Rogue Entertainment","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,1998-09-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"27212",2350,"QUAKE III: Team Arena",69,0,0,0,"id Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,2000-12-19,"False","False","True","False","False","False","False","False","False","False","False","False"
"27779",2360,"HeXen: Beyond Heretic",NA,0,0,0,"Raven Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1995-10-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"28346",2370,"HeXen: Deathkings of the Dark Citadel",NA,0,0,0,"Raven Software","id Software",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1996-01-01,"False","False","True","False","False","False","False","False","False","False","False","False"
"28912",2390,"Heretic: Shadow of the Serpent Riders",NA,0,0,0,"Raven Software","id Software",0,1,0,1,1,0,0,0,0,0,1,0,0,0,2007-08-03,"False","False","True","False","False","False","False","False","False","False","False","False"
"29479",2400,"The Ship: Murder Party",76,0,0,0,"Outerlight Ltd.","Blazing Griffin Ltd.",0,1,0,1,1,0,0,0,0,0,0,1,0,1,2006-07-11,"True","False","True","False","False","True","False","False","False","False","False","False"
"30046",2420,"The Ship: Single Player",NA,0,0,0,"Outerlight Ltd.","Blazing Griffin Ltd.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-11-20,"True","False","True","False","False","True","False","False","False","False","False","False"
"30613",2450,"Bloody Good Time",73,0,0,0,"Outerlight Ltd.","Ubisoft",0,1,0,1,1,0,0,0,1,0,0,0,0,0,2010-10-29,"False","False","True","False","False","False","False","False","False","False","False","False"
"31179",2500,"Shadowgrounds",74,0,0,0,"Frozenbyte","Frozenbyte",1,1,0,1,0,0,1,0,0,0,0,1,0,0,2006-05-08,"False","False","True","False","False","False","False","False","False","False","False","False"
"31746",2520,"Gumboy - Crazy Adventures\u2122",69,0,0,0,"CINEMAX, s.r.o.","Meridian4",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-12-19,"False","False","False","False","False","True","True","False","False","False","False","False"
"32312",2540,"RIP - Trilogy\u2122",NA,0,0,0,"Elephant Games","Meridian4",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2007-06-01,"False","False","False","False","False","True","True","False","False","False","False","False"
"32879",2570,"Vigil: Blood Bitterness\u2122",61,0,0,0,"Freegamer","Meridian4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,2007-06-29,"True","False","False","False","False","True","False","False","False","False","False","False"
"33445",2590,"Alpha Prime",59,0,0,0,"Black Element","Bohemia Interactive",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-11-07,"False","False","True","False","False","False","False","False","False","False","False","False"
"34012",2600,"Vampire: The Masquerade - Bloodlines",80,0,0,0,"Troika Games","Activision",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2004-11-16,"False","False","True","False","False","False","False","False","False","False","False","False"
"34579",2610,"GUN\u2122",76,0,0,0,"Neversoft","Activision",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2005-11-17,"False","False","True","False","False","False","False","False","False","False","False","False"
"35146",2620,"Call of Duty\xae",91,0,0,0,"Infinity Ward","Activision",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2003-10-29,"False","False","True","False","False","False","False","False","False","False","False","False"
"35713",2630,"Call of Duty\xae 2",86,0,0,0,"Infinity Ward,Aspyr (Mac)","Activision,Aspyr (Mac)",1,1,0,1,1,0,0,0,0,0,0,0,0,0,2005-10-25,"False","False","True","False","False","False","False","False","False","False","False","False"
"36280",2640,"Call of Duty: United Offensive",87,0,0,0,"Gray Matter Studios","Activision",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2004-09-15,"False","False","True","False","False","False","False","False","False","False","False","False"
"36847",2700,"RollerCoaster Tycoon\xae 3: Platinum",81,0,0,0,"Frontier,Aspyr (Mac)","Atari,Aspyr (Mac)",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-10-26,"False","True","False","False","True","False","False","False","False","False","False","False"
"37414",2710,"Act of War: Direct Action",82,0,0,0,"Eugen Systems","Atari",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2005-03-14,"False","False","True","False","False","False","False","False","False","False","False","False"
"37981",2720,"ThreadSpace: Hyperbol",NA,0,0,0,"Iocaine Studios","Atari",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2007-07-12,"False","True","True","False","False","True","False","False","False","False","False","False"
"38548",2780,"ARMA: Combat Operations",74,0,0,0,"Bohemia Interactive","Bohemia Interactive",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2007-05-08,"False","False","True","False","False","False","False","False","False","False","False","False"
"39115",2800,"X2: The Threat",72,0,0,0,"Egosoft","Egosoft",0,1,0,1,0,0,0,0,0,0,1,0,0,0,2003-12-03,"False","True","False","False","False","False","False","False","False","False","False","False"
"39682",2810,"X3: Reunion",71,0,1,0,"Egosoft","Egosoft",1,1,1,1,0,0,0,0,0,0,1,0,0,0,2005-11-03,"False","True","False","False","False","False","False","False","False","False","False","False"
"40249",2820,"X3: Terran Conflict",73,0,4,0,"Egosoft","Egosoft",1,1,1,1,0,0,0,0,1,0,1,0,0,0,2008-10-16,"False","True","True","False","True","False","False","False","False","False","False","False"
"40816",2840,"X: Beyond the Frontier",67,0,0,0,"Egosoft","Egosoft",0,1,0,1,0,0,0,0,0,0,1,0,0,0,1999-07-01,"False","True","False","False","True","False","False","False","False","False","False","False"
"41383",2850,"X: Tension",NA,0,0,0,"Egosoft","Egosoft",0,1,0,1,0,0,0,0,0,0,1,0,0,0,2000-06-01,"False","True","False","False","True","False","False","False","False","False","False","False"
"41950",2870,"X Rebirth",33,0,4,0,"Egosoft","Egosoft",1,1,1,1,0,0,0,0,1,0,1,1,1,0,2013-11-15,"False","False","True","False","True","False","False","False","False","False","False","False"
"42517",2900,"688(I) Hunter/Killer",NA,0,0,0,"Sonalysts","Strategy First",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1997-07-04,"False","True","False","False","False","False","False","False","False","False","False","False"
"43084",2910,"Fleet Command",NA,0,0,0,"Sonalysts","Strategy First",0,1,0,1,0,0,0,0,0,0,0,0,0,0,1999-05-15,"False","True","False","False","False","False","False","False","False","False","False","False"
"43651",2920,"Sub Command",84,0,0,0,"Sonalysts","Strategy First",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2001-10-01,"False","True","False","False","False","False","False","False","False","False","False","False"
"44218",2990,"FlatOut 2\u2122",76,0,0,0,"Bugbear Entertainment","Strategy First",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-01,"False","False","False","False","False","False","False","False","False","True","False","False"
"44785",3000,"GTI Racing",NA,0,0,0,"Techland","Techland",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-08-24,"False","False","False","False","False","False","False","False","False","True","False","False"
"45352",3010,"Xpand Rally",82,0,0,0,"Techland","Techland",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-08-24,"False","False","False","False","False","False","False","False","False","True","False","False"
"45919",3020,"Call of Juarez\u2122",72,0,0,0,"Techland","Techland",0,1,0,1,1,0,0,0,0,0,0,1,0,0,2007-06-12,"False","False","True","False","False","False","False","False","False","False","False","False"
"46486",3050,"Xpand Rally Xtreme",NA,0,0,0,"Techland","Techland",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2006-12-01,"False","False","False","False","False","False","False","False","False","True","False","False"
"47053",3130,"Men of War: Red Tide",77,0,0,0,"1C Company","1C Company,1C-SoftClub",0,1,0,1,0,0,0,0,0,0,1,0,0,0,2009-11-01,"False","True","False","False","False","False","False","False","False","False","False","False"
"47620",3170,"King's Bounty: Armored Princess",82,0,0,0,"Katauri Interactive","1C Company,1C-SoftClub",1,1,0,1,0,0,0,0,0,0,1,0,0,0,2009-11-19,"True","True","False","False","False","False","False","False","False","False","False","False"
"48187",3200,"Painkiller: Black Edition",81,0,0,0,"People Can Fly","Nordic Games",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2004-04-12,"False","False","True","False","False","False","False","False","False","False","False","False"
"48767",3230,"Genesis Rising",57,0,0,0,"Metamorf","Nordic Games",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2007-03-20,"False","True","False","False","False","False","False","False","False","False","False","False"
"49334",3260,"Safecracker: The Ultimate Puzzle Adventure",69,0,0,0,"Kheops Studio","Nordic Games",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-02,"False","False","False","True","False","False","True","False","False","False","False","False"
"49901",3270,"Painkiller Overdose",65,0,0,0,"Mindware Studios","Nordic Games",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2007-10-30,"False","False","True","False","False","False","False","False","False","False","False","False"
"50468",3300,"Bejeweled 2 Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"51034",3310,"Chuzzle Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"51601",3320,"Insaniquarium Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"52167",3330,"Zuma Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"52734",3340,"AstroPop Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"53301",3350,"Bejeweled Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"53867",3360,"Big Money! Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"54434",3370,"Bookworm Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"55001",3380,"Dynomite Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"55568",3390,"Feeding Frenzy 2 Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"56135",3400,"Hammer Heads Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"56702",3410,"Heavy Weapon Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"57269",3420,"Iggle Pop Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"57835",3430,"Pizza Frenzy Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"58402",3440,"Rocket Mania Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"58969",3450,"Typer Shark! Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"59535",3460,"Talismania Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-08-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"60101",3470,"Bookworm Adventures Deluxe",82,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2006-12-14,"False","False","False","False","False","False","True","False","False","False","False","False"
"60668",3480,"Peggle Deluxe",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-02-27,"False","False","False","False","False","False","True","False","False","False","False","False"
"61235",3483,"Peggle Extreme",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-09-11,"False","False","False","False","False","False","True","False","False","False","False","False"
"61801",3490,"Venice Deluxe",NA,0,0,0,"Retro64, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-06-26,"False","False","False","False","False","False","True","False","False","False","False","False"
"62368",3500,"Mystery P.I.\u2122 - The Lottery Ticket",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-10-16,"False","False","False","False","False","False","True","False","False","False","False","False"
"62934",3510,"Amazing Adventures The Lost Tomb\u2122",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2007-11-05,"False","False","False","False","False","False","True","False","False","False","False","False"
"63501",3520,"Mystery P.I.\u2122 - The Vegas Heist",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2008-06-04,"False","False","False","False","False","False","True","False","False","False","False","False"
"64067",3530,"Amazing Adventures Around the World",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2008-09-17,"False","False","False","False","False","False","True","False","False","False","False","False"
"64634",3540,"Peggle\u2122 Nights",76,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2008-10-15,"False","False","False","False","False","False","True","False","False","False","False","False"
"65200",3560,"Bejeweled Twist",78,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2008-11-18,"False","True","False","False","False","False","True","False","False","False","False","False"
"65767",3570,"Mystery P.I.\u2122 - The New York Fortune",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2009-01-14,"False","False","False","False","False","False","True","False","False","False","False","False"
"66334",3580,"The Wizard's Pen\u2122",NA,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2008-09-16,"False","False","False","False","False","False","True","False","False","False","False","False"
"66901",3590,"Plants vs. Zombies GOTY Edition",87,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",1,1,0,1,0,0,0,0,1,0,0,0,0,0,2009-05-05,"False","True","False","False","False","False","False","False","False","False","False","False"
"67468",3600,"Escape Rosecliff Island",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,2009-04-15,"False","False","False","False","False","False","True","False","False","False","False","False"
"68034",3610,"Mystery P.I. - Lost in Los Angeles",NA,0,0,0,"SpinTop Games","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2009-07-27,"False","False","False","False","False","False","True","False","False","False","False","False"
"68601",3620,"Zuma's Revenge!",78,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,1,0,0,0,0,0,2009-09-15,"False","False","True","False","False","False","True","False","False","False","False","False"
"69168",3630,"Bookworm\u2122 Adventures Volume\xa02",79,0,0,0,"PopCap Games, Inc.","PopCap Games, Inc.",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2009-07-30,"False","False","False","False","False","False","True","False","False","False","False","False"
"69735",3700,"Sniper Elite",76,0,0,0,"Rebellion","Rebellion",0,1,0,1,0,0,0,0,0,0,0,1,0,0,2005-10-18,"False","False","True","False","False","False","False","False","False","False","False","False"
"70302",3710,"Judge Dredd: Dredd vs. Death",55,0,0,0,"Rebellion","Rebellion",0,1,0,1,1,0,1,0,0,0,0,0,0,0,2005-02-28,"False","False","True","False","False","False","False","False","False","False","False","False"
"70869",3720,"Evil Genius",75,0,0,0,"Elixir Studios","Rebellion",0,1,0,1,0,0,0,0,0,0,0,0,0,0,2004-09-28,"False","True","False","False","False","False","False","False","False","False","False","False"
"71436",3730,"Aliens versus Predator Classic 2000",NA,0,0,0,"Rebellion","Rebellion",0,1,0,1,1,0,0,0,0,0,0,0,0,0,2000-03-28,"False","False","True","False","False","False","False","False","False","False","False","False"
"72003",3800,"Advent Rising",70,0,0,0,"GlyphX Games","Majesco",0,1,0,1,0,0,0,0,0,0,0,1,0,0,2005-08-09,"False","False","True","False","False","False","False","False","False","False","False","False"
"72569",3810,"BloodRayne",65,0,0,0,"Terminal Reality","Majesco",0,1,0,1,0,0,0,0,0,0,0,1,0,0,2003-09-09,"False","False","True","False","False","False","False","False","False","False","False","False"
"73136",3820,"BloodRayne 2",67,0,0,0,"Terminal Reality","Majesco",0,1,0,1,0,0,0,0,0,0,0,1,0,0,2005-08-02,"False","False","True","False","False","False","False","False","False","False","False","False"
